Takt;Sprechgeschwindigkeit (Silben/sec);Durchschnittliche Tonlage;Schallstaerke
1;3,5;normal;normal
2;3,4;niedrig;normal
3;4,1;normal;normal
4;3,7;niedrig;niedrig
5;3,8;niedrig;niedrig
6;3,3;normal;niedrig
7;4;niedrig;niedrig
8;2,9;normal;normal
9;3,1;normal;hoch
10;3,3;sehr niedrig;hoch
11;4,1;sehr niedrig;niedrig
12;4,3;niedrig;sehr niedrig
13;4,2;niedrig;sehr niedrig
14;4,2;normal;sehr niedrig
15;4;niedrig;niedrig
16;4,1;sehr niedrig;sehr niedrig
17;4;sehr niedrig;hoch
18;4,2;niedrig;normal
19;4;normal;normal
20;3,9;normal;niedrig
21;4;niedrig;sehr niedrig
22;4,3;normal;niedrig
23;4,9;normal;normal
24;5,2;hoch;normal
25;5,5;normal;normal
26;5,3;hoch;hoch
27;4,9;normal;sehr niedrig
28;4,7;hoch;normal
29;5;normal;normal
30;5,4;normal;hoch
31;6,1;hoch;sehr hoch
32;6,5;sehr hoch;hoch
33;6,4;sehr hoch;sehr hoch
34;5,9;hoch;hoch
35;4,5;normal;hoch
36;4,9;niedrig;hoch
37;5;normal;normal
38;5,1;normal;normal
39;5,5;normal;hoch
40;5,3;normal;hoch
41;4,9;normal;niedrig
42;4,4;normal;normal
43;4,2;niedrig;normal
44;4;normal;niedrig
45;3,9;normal;niedrig
46;4;niedrig;sehr niedrig
47;4;normal;niedrig
48;4,2;normal;normal
49;4;niedrig;niedrig
50;4;niedrig;niedrig
